"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"860Z200US89010","ZCTA5 89010","461","152","406","145","0","13","4","5","0","13","0","13","0","13","51","63","37","59","14","17",
"860Z200US89019","ZCTA5 89019","2312","618","1874","547","79","81","20","31","197","158","0","13","67","70","75","76","66","76","9","13",
"860Z200US89060","ZCTA5 89060","12198","1103","9041","923","202","117","80","64","126","82","132","83","1212","583","1405","698","1151","707","254","177",
"860Z200US89061","ZCTA5 89061","7529","880","6248","865","111","93","50","52","102","84","57","138","383","297","578","362","300","239","278","257",
"860Z200US89439","ZCTA5 89439","1639","248","1475","243","0","13","0","13","32","53","0","13","15","22","117","73","86","67","31","34",
"860Z200US90001","ZCTA5 90001","57652","2615","16284","1687","4295","575","1226","460","348","155","13","22","23449","2052","12037","1752","11102","1639","935","378",
"860Z200US90002","ZCTA5 90002","53108","2472","12306","1659","8355","1099","1974","698","611","353","53","64","20939","1940","8870","1655","8264","1596","606","344",
"860Z200US90003","ZCTA5 90003","75024","3354","12889","1900","12352","1350","598","330","350","226","0","31","35695","2710","13140","1989","12588","1947","552","258",
"860Z200US90004","ZCTA5 90004","58833","2270","17019","1547","2619","523","741","377","14584","1310","68","71","18307","1378","5495","858","3439","816","2056","478",
"860Z200US90005","ZCTA5 90005","37754","2108","7371","944","2006","413","640","285","12305","1078","14","16","10808","1313","4610","1374","3372","1385","1238","323",
"860Z200US90006","ZCTA5 90006","56628","2531","13244","1341","1669","318","985","385","10370","957","118","140","22976","1781","7266","1694","6428","1694","838","280",
"860Z200US90007","ZCTA5 90007","41004","1837","13360","1277","3535","626","466","181","7733","815","43","38","10676","1112","5191","740","3769","660","1422","319",
"860Z200US90008","ZCTA5 90008","33076","2098","3129","684","21047","1980","337","179","991","349","36","106","5113","1078","2423","675","1636","656","787","281",
