"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"860Z200US89010","ZCTA5 89010","461","152","272","107","254","104","0","13","4","5","0","13","0","13","0","13","14","17","0","13","14","17","189","133","152","122","0","13","0","13","0","13","0","13","0","13","37","59","37","59","0","13",
"860Z200US89019","ZCTA5 89019","2312","618","2033","592","1682","528","79","81","0","13","197","158","0","13","0","13","75","76","66","76","9","13","279","247","192","251","0","13","20","31","0","13","0","13","67","70","0","13","0","13","0","13",
"860Z200US89060","ZCTA5 89060","12198","1103","9738","906","8749","862","202","117","70","60","126","82","132","83","31","43","428","238","174","164","254","177","2460","603","292","213","0","20","10","17","0","20","0","20","1181","597","977","650","977","650","0","20",
"860Z200US89061","ZCTA5 89061","7529","880","6105","721","5207","687","111","93","50","52","102","84","57","138","0","18","578","362","300","239","278","257","1424","494","1041","468","0","18","0","18","0","18","0","18","383","297","0","18","0","18","0","18",
"860Z200US89439","ZCTA5 89439","1639","248","1543","234","1467","240","0","13","0","13","32","53","0","13","0","13","44","40","13","21","31","34","96","75","8","11","0","13","0","13","0","13","0","13","15","22","73","64","73","64","0","13",
"860Z200US90001","ZCTA5 90001","57652","2615","5010","614","373","113","3998","548","24","38","289","141","13","22","60","66","253","174","20","23","233","171","52642","2544","15911","1667","297","161","1202","457","59","53","0","31","23389","2035","11784","1706","11082","1636","702","317",
"860Z200US90002","ZCTA5 90002","53108","2472","9342","1097","200","92","8096","1074","130","145","471","323","21","39","89","78","335","138","102","95","233","117","43766","2426","12106","1664","259","145","1844","659","140","154","32","50","20850","1938","8535","1647","8162","1614","373","309",
"860Z200US90003","ZCTA5 90003","75024","3354","13845","1498","354","113","12121","1361","89","95","291","208","0","31","574","576","416","228","246","201","170","95","61179","3000","12535","1899","231","165","509","324","59","74","0","31","35121","2651","12724","1981","12342","1938","382","229",
"860Z200US90004","ZCTA5 90004","58833","2270","31423","1905","12108","1117","2469","502","34","37","14437","1314","68","71","280","174","2027","472","331","274","1696","404","27410","1558","4911","998","150","131","707","384","147","74","0","31","18027","1357","3468","754","3108","745","360","209",
"860Z200US90005","ZCTA5 90005","37754","2108","19151","1256","3819","475","1878","398","103","105","12252","1066","14","16","43","36","1042","317","70","66","972","312","18603","1853","3552","881","128","104","537","252","53","48","0","28","10765","1315","3568","1385","3302","1400","266","130",
