"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"860Z200US89010","ZCTA5 89010","50000","26118",
"860Z200US89019","ZCTA5 89019","51806","44619",
"860Z200US89060","ZCTA5 89060","48076","10103",
"860Z200US89061","ZCTA5 89061","64420","5809",
"860Z200US89439","ZCTA5 89439","88500","26428",
"860Z200US90001","ZCTA5 90001","57698","3245",
"860Z200US90002","ZCTA5 90002","54221","3344",
"860Z200US90003","ZCTA5 90003","51275","3282",
"860Z200US90004","ZCTA5 90004","58420","2085",
"860Z200US90005","ZCTA5 90005","49226","3917",
"860Z200US90006","ZCTA5 90006","47599","2880",
"860Z200US90007","ZCTA5 90007","36326","2962",
"860Z200US90008","ZCTA5 90008","57880","4431",
"860Z200US90010","ZCTA5 90010","92454","18161",
"860Z200US90011","ZCTA5 90011","51819","3054",
"860Z200US90012","ZCTA5 90012","58444","7019",
"860Z200US90013","ZCTA5 90013","24853","8382",
"860Z200US90014","ZCTA5 90014","26550","10109",
"860Z200US90015","ZCTA5 90015","61959","11730",
"860Z200US90016","ZCTA5 90016","63090","5698",
"860Z200US90017","ZCTA5 90017","46626","6390",
"860Z200US90018","ZCTA5 90018","58987","5418",
"860Z200US90019","ZCTA5 90019","65972","5381",
"860Z200US90020","ZCTA5 90020","55321","3671",
"860Z200US90021","ZCTA5 90021","29659","7876",
"860Z200US90022","ZCTA5 90022","65142","4868",
"860Z200US90023","ZCTA5 90023","52918","3882",
"860Z200US90024","ZCTA5 90024","74852","6957",
"860Z200US90025","ZCTA5 90025","103511","10374",
"860Z200US90026","ZCTA5 90026","80549","4243",
"860Z200US90027","ZCTA5 90027","86826","4444",
"860Z200US90028","ZCTA5 90028","57258","3807",
"860Z200US90029","ZCTA5 90029","56529","3041",
"860Z200US90031","ZCTA5 90031","59889","5800",
"860Z200US90032","ZCTA5 90032","76608","5097",
"860Z200US90033","ZCTA5 90033","50616","3894",
"860Z200US90034","ZCTA5 90034","97511","4308",
"860Z200US90035","ZCTA5 90035","110520","9034",
"860Z200US90036","ZCTA5 90036","97583","6284",
"860Z200US90037","ZCTA5 90037","52238","3493",
"860Z200US90038","ZCTA5 90038","57102","4277",
"860Z200US90039","ZCTA5 90039","108338","9334",
"860Z200US90040","ZCTA5 90040","62083","10794",
"860Z200US90041","ZCTA5 90041","111938","10305",
"860Z200US90042","ZCTA5 90042","89168","4905",
"860Z200US90043","ZCTA5 90043","63990","6488",
"860Z200US90044","ZCTA5 90044","48386","4362",
"860Z200US90045","ZCTA5 90045","125692","7051",
"860Z200US90046","ZCTA5 90046","87339","5246",
"860Z200US90047","ZCTA5 90047","67018","4775",
"860Z200US90048","ZCTA5 90048","102244","14673",
"860Z200US90049","ZCTA5 90049","161605","12759",
"860Z200US90052","ZCTA5 90052","-","**",
"860Z200US90056","ZCTA5 90056","123457","18323",
"860Z200US90057","ZCTA5 90057","46513","1643",
"860Z200US90058","ZCTA5 90058","34093","7565",
"860Z200US90059","ZCTA5 90059","50939","4530",
"860Z200US90061","ZCTA5 90061","56837","4333",
"860Z200US90062","ZCTA5 90062","61422","7611",
"860Z200US90063","ZCTA5 90063","69307","4299",
"860Z200US90064","ZCTA5 90064","123929","13091",
"860Z200US90065","ZCTA5 90065","88329","4902",
"860Z200US90066","ZCTA5 90066","100344","4077",
"860Z200US90067","ZCTA5 90067","125995","17250",
"860Z200US90068","ZCTA5 90068","97151","7356",
"860Z200US90069","ZCTA5 90069","106133","10648",
"860Z200US90071","ZCTA5 90071","-","**",
"860Z200US90073","ZCTA5 90073","-","**",
"860Z200US90077","ZCTA5 90077","203194","30550",
"860Z200US90079","ZCTA5 90079","-","**",
"860Z200US90089","ZCTA5 90089","-","**",
"860Z200US90094","ZCTA5 90094","156536","23794",
"860Z200US90095","ZCTA5 90095","-","**",
"860Z200US90201","ZCTA5 90201","53692","2552",
"860Z200US90210","ZCTA5 90210","172285","14825",
"860Z200US90211","ZCTA5 90211","115025","12807",
"860Z200US90212","ZCTA5 90212","101963","11017",
"860Z200US90220","ZCTA5 90220","69901","5022",
"860Z200US90221","ZCTA5 90221","64439","3956",
"860Z200US90222","ZCTA5 90222","68722","6999",
"860Z200US90230","ZCTA5 90230","107870","8743",
"860Z200US90232","ZCTA5 90232","113278","14810",
"860Z200US90240","ZCTA5 90240","99874","10638",
"860Z200US90241","ZCTA5 90241","81220","3176",
"860Z200US90242","ZCTA5 90242","81448","5147",
"860Z200US90245","ZCTA5 90245","142596","9895",
"860Z200US90247","ZCTA5 90247","70012","4441",
"860Z200US90248","ZCTA5 90248","75865","13185",
"860Z200US90249","ZCTA5 90249","83125","9139",
"860Z200US90250","ZCTA5 90250","74616","2512",
"860Z200US90254","ZCTA5 90254","149500","19009",
"860Z200US90255","ZCTA5 90255","57013","2811",
"860Z200US90260","ZCTA5 90260","80205","4574",
"860Z200US90262","ZCTA5 90262","67620","4174",
"860Z200US90263","ZCTA5 90263","-","**",
"860Z200US90265","ZCTA5 90265","186264","25467",
"860Z200US90266","ZCTA5 90266","187217","14352",
"860Z200US90270","ZCTA5 90270","57741","7191",
"860Z200US90272","ZCTA5 90272","225256","35534",
"860Z200US90274","ZCTA5 90274","206013","17608",
"860Z200US90275","ZCTA5 90275","166602","10887",
"860Z200US90277","ZCTA5 90277","120008","8242",
"860Z200US90278","ZCTA5 90278","143785","10335",
"860Z200US90280","ZCTA5 90280","67287","2641",
"860Z200US90290","ZCTA5 90290","138316","8763",
"860Z200US90291","ZCTA5 90291","111610","11273",
