"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"860Z200US89010","ZCTA5 89010","188","62","128","47","60","42",
"860Z200US89019","ZCTA5 89019","1150","331","807","312","343","168",
"860Z200US89060","ZCTA5 89060","5129","452","4248","439","881","246",
"860Z200US89061","ZCTA5 89061","3326","382","2956","409","370","202",
"860Z200US89439","ZCTA5 89439","834","110","686","117","148","89",
"860Z200US90001","ZCTA5 90001","13597","578","4736","456","8861","511",
"860Z200US90002","ZCTA5 90002","13013","474","5314","388","7699","454",
"860Z200US90003","ZCTA5 90003","17936","644","4845","380","13091","670",
"860Z200US90004","ZCTA5 90004","23047","801","3794","383","19253","737",
"860Z200US90005","ZCTA5 90005","16607","648","1301","193","15306","645",
"860Z200US90006","ZCTA5 90006","19100","653","2033","234","17067","631",
"860Z200US90007","ZCTA5 90007","12520","483","1329","235","11191","483",
"860Z200US90008","ZCTA5 90008","14694","745","4632","544","10062","617",
"860Z200US90010","ZCTA5 90010","2381","289","394","109","1987","258",
"860Z200US90011","ZCTA5 90011","24399","713","6519","551","17880","685",
"860Z200US90012","ZCTA5 90012","14945","756","957","191","13988","779",
"860Z200US90013","ZCTA5 90013","7781","636","625","139","7156","650",
"860Z200US90014","ZCTA5 90014","6100","534","212","81","5888","532",
"860Z200US90015","ZCTA5 90015","12838","644","1107","280","11731","597",
"860Z200US90016","ZCTA5 90016","17601","786","6403","501","11198","783",
"860Z200US90017","ZCTA5 90017","13564","681","734","246","12830","680",
"860Z200US90018","ZCTA5 90018","16339","574","5369","378","10970","596",
"860Z200US90019","ZCTA5 90019","23576","819","5895","433","17681","867",
"860Z200US90020","ZCTA5 90020","17321","767","1630","376","15691","759",
"860Z200US90021","ZCTA5 90021","1459","259","100","85","1359","240",
"860Z200US90022","ZCTA5 90022","17165","574","5949","425","11216","580",
"860Z200US90023","ZCTA5 90023","11750","399","3095","299","8655","414",
"860Z200US90024","ZCTA5 90024","16843","899","5602","526","11241","745",
"860Z200US90025","ZCTA5 90025","22166","870","5486","505","16680","989",
"860Z200US90026","ZCTA5 90026","26230","713","6225","493","20005","765",
"860Z200US90027","ZCTA5 90027","21331","600","4462","359","16869","620",
"860Z200US90028","ZCTA5 90028","17228","941","690","184","16538","932",
"860Z200US90029","ZCTA5 90029","12836","470","1485","208","11351","458",
"860Z200US90031","ZCTA5 90031","11960","547","3921","410","8039","484",
"860Z200US90032","ZCTA5 90032","13427","438","7254","443","6173","440",
"860Z200US90033","ZCTA5 90033","13341","435","2632","290","10709","451",
"860Z200US90034","ZCTA5 90034","25261","934","5137","480","20124","774",
"860Z200US90035","ZCTA5 90035","11420","725","3657","476","7763","592",
"860Z200US90036","ZCTA5 90036","19753","664","2915","329","16838","623",
"860Z200US90037","ZCTA5 90037","17571","555","4416","444","13155","559",
"860Z200US90038","ZCTA5 90038","12929","588","1026","185","11903","606",
"860Z200US90039","ZCTA5 90039","12052","674","5662","416","6390","623",
"860Z200US90040","ZCTA5 90040","3441","202","1838","231","1603","211",
"860Z200US90041","ZCTA5 90041","9875","516","5150","466","4725","417",
"860Z200US90042","ZCTA5 90042","21199","597","9549","562","11650","537",
"860Z200US90043","ZCTA5 90043","17132","787","9093","578","8039","674",
"860Z200US90044","ZCTA5 90044","27738","841","8441","525","19297","808",
"860Z200US90045","ZCTA5 90045","15852","596","7596","497","8256","608",
"860Z200US90046","ZCTA5 90046","28346","904","6110","491","22236","797",
"860Z200US90047","ZCTA5 90047","17202","916","9291","634","7911","770",
"860Z200US90048","ZCTA5 90048","11564","664","3342","409","8222","624",
"860Z200US90049","ZCTA5 90049","16151","634","8793","583","7358","431",
"860Z200US90052","ZCTA5 90052","0","13","0","13","0","13",
"860Z200US90056","ZCTA5 90056","3432","412","1984","294","1448","319",
"860Z200US90057","ZCTA5 90057","16986","529","511","145","16475","553",
"860Z200US90058","ZCTA5 90058","1039","225","138","147","901","192",
"860Z200US90059","ZCTA5 90059","10351","531","4797","472","5554","462",
"860Z200US90061","ZCTA5 90061","7666","580","3094","418","4572","490",
"860Z200US90062","ZCTA5 90062","9802","420","4624","414","5178","419",
"860Z200US90063","ZCTA5 90063","13529","544","5028","387","8501","521",
"860Z200US90064","ZCTA5 90064","11414","653","5944","476","5470","476",
"860Z200US90065","ZCTA5 90065","16200","680","7704","497","8496","516",
"860Z200US90066","ZCTA5 90066","24679","777","9061","465","15618","712",
"860Z200US90067","ZCTA5 90067","1719","237","1120","171","599","223",
"860Z200US90068","ZCTA5 90068","11740","676","5447","449","6293","523",
"860Z200US90069","ZCTA5 90069","13004","716","5293","646","7711","770",
"860Z200US90071","ZCTA5 90071","8","14","8","14","0","13",
"860Z200US90073","ZCTA5 90073","0","13","0","13","0","13",
"860Z200US90077","ZCTA5 90077","3001","261","2560","257","441","138",
"860Z200US90079","ZCTA5 90079","0","13","0","13","0","13",
"860Z200US90089","ZCTA5 90089","6","9","0","13","6","9",
"860Z200US90094","ZCTA5 90094","5903","447","1773","368","4130","385",
"860Z200US90095","ZCTA5 90095","0","13","0","13","0","13",
"860Z200US90201","ZCTA5 90201","24126","552","5035","389","19091","591",
"860Z200US90210","ZCTA5 90210","7893","383","5853","401","2040","326",
