"GEO_ID","NAME","B27001_001E","B27001_001M","B27001_002E","B27001_002M","B27001_003E","B27001_003M","B27001_004E","B27001_004M","B27001_005E","B27001_005M","B27001_006E","B27001_006M","B27001_007E","B27001_007M","B27001_008E","B27001_008M","B27001_009E","B27001_009M","B27001_010E","B27001_010M","B27001_011E","B27001_011M","B27001_012E","B27001_012M","B27001_013E","B27001_013M","B27001_014E","B27001_014M","B27001_015E","B27001_015M","B27001_016E","B27001_016M","B27001_017E","B27001_017M","B27001_018E","B27001_018M","B27001_019E","B27001_019M","B27001_020E","B27001_020M","B27001_021E","B27001_021M","B27001_022E","B27001_022M","B27001_023E","B27001_023M","B27001_024E","B27001_024M","B27001_025E","B27001_025M","B27001_026E","B27001_026M","B27001_027E","B27001_027M","B27001_028E","B27001_028M","B27001_029E","B27001_029M","B27001_030E","B27001_030M","B27001_031E","B27001_031M","B27001_032E","B27001_032M","B27001_033E","B27001_033M","B27001_034E","B27001_034M","B27001_035E","B27001_035M","B27001_036E","B27001_036M","B27001_037E","B27001_037M","B27001_038E","B27001_038M","B27001_039E","B27001_039M","B27001_040E","B27001_040M","B27001_041E","B27001_041M","B27001_042E","B27001_042M","B27001_043E","B27001_043M","B27001_044E","B27001_044M","B27001_045E","B27001_045M","B27001_046E","B27001_046M","B27001_047E","B27001_047M","B27001_048E","B27001_048M","B27001_049E","B27001_049M","B27001_050E","B27001_050M","B27001_051E","B27001_051M","B27001_052E","B27001_052M","B27001_053E","B27001_053M","B27001_054E","B27001_054M","B27001_055E","B27001_055M","B27001_056E","B27001_056M","B27001_057E","B27001_057M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 6 years:","Margin of Error!!Total:!!Male:!!Under 6 years:","Estimate!!Total:!!Male:!!Under 6 years:!!With health insurance coverage","Margin of Error!!Total:!!Male:!!Under 6 years:!!With health insurance coverage","Estimate!!Total:!!Male:!!Under 6 years:!!No health insurance coverage","Margin of Error!!Total:!!Male:!!Under 6 years:!!No health insurance coverage","Estimate!!Total:!!Male:!!6 to 18 years:","Margin of Error!!Total:!!Male:!!6 to 18 years:","Estimate!!Total:!!Male:!!6 to 18 years:!!With health insurance coverage","Margin of Error!!Total:!!Male:!!6 to 18 years:!!With health insurance coverage","Estimate!!Total:!!Male:!!6 to 18 years:!!No health insurance coverage","Margin of Error!!Total:!!Male:!!6 to 18 years:!!No health insurance coverage","Estimate!!Total:!!Male:!!19 to 25 years:","Margin of Error!!Total:!!Male:!!19 to 25 years:","Estimate!!Total:!!Male:!!19 to 25 years:!!With health insurance coverage","Margin of Error!!Total:!!Male:!!19 to 25 years:!!With health insurance coverage","Estimate!!Total:!!Male:!!19 to 25 years:!!No health insurance coverage","Margin of Error!!Total:!!Male:!!19 to 25 years:!!No health insurance coverage","Estimate!!Total:!!Male:!!26 to 34 years:","Margin of Error!!Total:!!Male:!!26 to 34 years:","Estimate!!Total:!!Male:!!26 to 34 years:!!With health insurance coverage","Margin of Error!!Total:!!Male:!!26 to 34 years:!!With health insurance coverage","Estimate!!Total:!!Male:!!26 to 34 years:!!No health insurance coverage","Margin of Error!!Total:!!Male:!!26 to 34 years:!!No health insurance coverage","Estimate!!Total:!!Male:!!35 to 44 years:","Margin of Error!!Total:!!Male:!!35 to 44 years:","Estimate!!Total:!!Male:!!35 to 44 years:!!With health insurance coverage","Margin of Error!!Total:!!Male:!!35 to 44 years:!!With health insurance coverage","Estimate!!Total:!!Male:!!35 to 44 years:!!No health insurance coverage","Margin of Error!!Total:!!Male:!!35 to 44 years:!!No health insurance coverage","Estimate!!Total:!!Male:!!45 to 54 years:","Margin of Error!!Total:!!Male:!!45 to 54 years:","Estimate!!Total:!!Male:!!45 to 54 years:!!With health insurance coverage","Margin of Error!!Total:!!Male:!!45 to 54 years:!!With health insurance coverage","Estimate!!Total:!!Male:!!45 to 54 years:!!No health insurance coverage","Margin of Error!!Total:!!Male:!!45 to 54 years:!!No health insurance coverage","Estimate!!Total:!!Male:!!55 to 64 years:","Margin of Error!!Total:!!Male:!!55 to 64 years:","Estimate!!Total:!!Male:!!55 to 64 years:!!With health insurance coverage","Margin of Error!!Total:!!Male:!!55 to 64 years:!!With health insurance coverage","Estimate!!Total:!!Male:!!55 to 64 years:!!No health insurance coverage","Margin of Error!!Total:!!Male:!!55 to 64 years:!!No health insurance coverage","Estimate!!Total:!!Male:!!65 to 74 years:","Margin of Error!!Total:!!Male:!!65 to 74 years:","Estimate!!Total:!!Male:!!65 to 74 years:!!With health insurance coverage","Margin of Error!!Total:!!Male:!!65 to 74 years:!!With health insurance coverage","Estimate!!Total:!!Male:!!65 to 74 years:!!No health insurance coverage","Margin of Error!!Total:!!Male:!!65 to 74 years:!!No health insurance coverage","Estimate!!Total:!!Male:!!75 years and over:","Margin of Error!!Total:!!Male:!!75 years and over:","Estimate!!Total:!!Male:!!75 years and over:!!With health insurance coverage","Margin of Error!!Total:!!Male:!!75 years and over:!!With health insurance coverage","Estimate!!Total:!!Male:!!75 years and over:!!No health insurance coverage","Margin of Error!!Total:!!Male:!!75 years and over:!!No health insurance coverage","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 6 years:","Margin of Error!!Total:!!Female:!!Under 6 years:","Estimate!!Total:!!Female:!!Under 6 years:!!With health insurance coverage","Margin of Error!!Total:!!Female:!!Under 6 years:!!With health insurance coverage","Estimate!!Total:!!Female:!!Under 6 years:!!No health insurance coverage","Margin of Error!!Total:!!Female:!!Under 6 years:!!No health insurance coverage","Estimate!!Total:!!Female:!!6 to 18 years:","Margin of Error!!Total:!!Female:!!6 to 18 years:","Estimate!!Total:!!Female:!!6 to 18 years:!!With health insurance coverage","Margin of Error!!Total:!!Female:!!6 to 18 years:!!With health insurance coverage","Estimate!!Total:!!Female:!!6 to 18 years:!!No health insurance coverage","Margin of Error!!Total:!!Female:!!6 to 18 years:!!No health insurance coverage","Estimate!!Total:!!Female:!!19 to 25 years:","Margin of Error!!Total:!!Female:!!19 to 25 years:","Estimate!!Total:!!Female:!!19 to 25 years:!!With health insurance coverage","Margin of Error!!Total:!!Female:!!19 to 25 years:!!With health insurance coverage","Estimate!!Total:!!Female:!!19 to 25 years:!!No health insurance coverage","Margin of Error!!Total:!!Female:!!19 to 25 years:!!No health insurance coverage","Estimate!!Total:!!Female:!!26 to 34 years:","Margin of Error!!Total:!!Female:!!26 to 34 years:","Estimate!!Total:!!Female:!!26 to 34 years:!!With health insurance coverage","Margin of Error!!Total:!!Female:!!26 to 34 years:!!With health insurance coverage","Estimate!!Total:!!Female:!!26 to 34 years:!!No health insurance coverage","Margin of Error!!Total:!!Female:!!26 to 34 years:!!No health insurance coverage","Estimate!!Total:!!Female:!!35 to 44 years:","Margin of Error!!Total:!!Female:!!35 to 44 years:","Estimate!!Total:!!Female:!!35 to 44 years:!!With health insurance coverage","Margin of Error!!Total:!!Female:!!35 to 44 years:!!With health insurance coverage","Estimate!!Total:!!Female:!!35 to 44 years:!!No health insurance coverage","Margin of Error!!Total:!!Female:!!35 to 44 years:!!No health insurance coverage","Estimate!!Total:!!Female:!!45 to 54 years:","Margin of Error!!Total:!!Female:!!45 to 54 years:","Estimate!!Total:!!Female:!!45 to 54 years:!!With health insurance coverage","Margin of Error!!Total:!!Female:!!45 to 54 years:!!With health insurance coverage","Estimate!!Total:!!Female:!!45 to 54 years:!!No health insurance coverage","Margin of Error!!Total:!!Female:!!45 to 54 years:!!No health insurance coverage","Estimate!!Total:!!Female:!!55 to 64 years:","Margin of Error!!Total:!!Female:!!55 to 64 years:","Estimate!!Total:!!Female:!!55 to 64 years:!!With health insurance coverage","Margin of Error!!Total:!!Female:!!55 to 64 years:!!With health insurance coverage","Estimate!!Total:!!Female:!!55 to 64 years:!!No health insurance coverage","Margin of Error!!Total:!!Female:!!55 to 64 years:!!No health insurance coverage","Estimate!!Total:!!Female:!!65 to 74 years:","Margin of Error!!Total:!!Female:!!65 to 74 years:","Estimate!!Total:!!Female:!!65 to 74 years:!!With health insurance coverage","Margin of Error!!Total:!!Female:!!65 to 74 years:!!With health insurance coverage","Estimate!!Total:!!Female:!!65 to 74 years:!!No health insurance coverage","Margin of Error!!Total:!!Female:!!65 to 74 years:!!No health insurance coverage","Estimate!!Total:!!Female:!!75 years and over:","Margin of Error!!Total:!!Female:!!75 years and over:","Estimate!!Total:!!Female:!!75 years and over:!!With health insurance coverage","Margin of Error!!Total:!!Female:!!75 years and over:!!With health insurance coverage","Estimate!!Total:!!Female:!!75 years and over:!!No health insurance coverage","Margin of Error!!Total:!!Female:!!75 years and over:!!No health insurance coverage",
"860Z200US89010","ZCTA5 89010","461","152","258","88","9","16","9","16","0","13","26","27","26","27","0","13","10","18","10","18","0","13","10","10","4","7","6","8","16","20","6","10","10","18","51","38","29","21","22","34","54","45","19","19","35","48","69","34","69","34","0","13","13","14","13","14","0","13","203","90","17","16","17","16","0","13","19","17","19","17","0","13","0","13","0","13","0","13","28","28","18","21","10","18","38","33","38","33","0","13","35","32","20","19","15","27","8","10","8","10","0","13","47","18","47","18","0","13","11","18","11","18","0","13",
"860Z200US89019","ZCTA5 89019","2307","617","1326","397","12","20","12","20","0","13","59","54","59","54","0","13","154","118","98","89","56","69","14","16","6","10","8","13","130","93","35","36","95","88","174","97","118","73","56","66","583","338","567","337","16","25","175","119","175","119","0","13","25","29","25","29","0","13","981","351","61","48","61","48","0","13","59","66","59","66","0","13","2","4","2","4","0","13","66","85","66","85","0","13","86","56","82","55","4","7","131","90","95","89","36","53","235","136","187","117","48","49","307","205","307","205","0","13","34","40","34","40","0","13",
"860Z200US89060","ZCTA5 89060","11857","1083","5760","562","174","75","174","75","0","20","400","146","400","146","0","20","359","200","229","141","130","89","576","248","568","253","8","40","281","108","204","108","77","67","872","286","829","296","43","46","1056","267","848","237","208","177","1177","257","1139","261","38","59","865","212","865","212","0","20","6097","720","572","319","529","319","43","51","847","358","847","358","0","20","212","137","196","135","16","35","517","158","475","159","42","46","389","127","349","126","40","35","875","263","826","273","49","49","844","228","779","219","65","67","1197","222","1180","221","17","26","644","185","644","185","0","20",
"860Z200US89061","ZCTA5 89061","7529","880","4024","570","20","34","20","34","0","18","665","405","665","405","0","18","92","121","6","10","86","122","392","136","375","133","17","33","308","177","289","178","19","32","458","214","449","213","9","15","588","151","509","154","79","71","933","235","933","235","0","18","568","163","568","163","0","18","3505","523","49","71","49","71","0","18","269","202","269","202","0","18","47","57","47","57","0","18","442","183","442","183","0","18","122","93","122","93","0","18","266","119","189","103","77","80","837","213","778","212","59","54","982","238","936","248","46","75","491","139","491","139","0","18",
"860Z200US89439","ZCTA5 89439","1639","248","932","166","43","29","43","29","0","13","80","59","80","59","0","13","30","30","30","30","0","13","52","42","52","42","0","13","81","57","60","49","21","35","96","67","56","54","40","41","233","96","185","90","48","40","191","88","191","88","0","13","126","69","126","69","0","13","707","134","26","23","26","23","0","13","43","33","37","31","6","11","0","13","0","13","0","13","32","32","32","32","0","13","166","82","142","66","24","30","78","57","78","57","0","13","170","73","170","73","0","13","111","61","111","61","0","13","81","41","81","41","0","13",
"860Z200US90001","ZCTA5 90001","57639","2616","29089","1541","2351","414","2235","404","116","87","6299","692","5687","619","612","243","3560","467","2650","425","910","235","4187","472","2964","434","1223","264","3977","629","2750","413","1227","333","3969","499","2600","333","1369","366","2759","400","2111","347","648","205","1350","177","1251","192","99","60","637","155","625","155","12","21","28550","1636","2671","437","2542","423","129","101","6551","697","6134","687","417","188","3042","354","2609","314","433","143","3816","510","2822","431","994","241","3718","422","2990","345","728","267","3625","485","2704","363","921","339","2639","300","2128","304","511","100","1610","223","1526","225","84","59","878","313","852","295","26","37",
"860Z200US90002","ZCTA5 90002","53100","2471","26032","1537","2108","337","2040","337","68","56","6067","649","5741","647","326","141","3454","537","2538","462","916","281","3514","498","2553","437","961","230","3091","418","2196","352","895","227","3521","445","2289","333","1232","328","2380","354","1970","323","410","154","1318","238","1293","237","25","31","579","155","579","155","0","31","27068","1300","2180","342","1966","306","214","172","5922","664","5837","667","85","66","3079","379","2691","369","388","140","3836","354","3024","325","812","171","3850","437","3282","408","568","148","2619","384","2194","356","425","161","3110","387","2664","365","446","147","1499","282","1389","263","110","85","973","206","962","207","11","20",
"860Z200US90003","ZCTA5 90003","75006","3355","37775","2061","3682","470","3538","444","144","116","10082","1003","9432","1030","650","231","3855","415","2903","364","952","241","5158","526","3501","498","1657","305","4567","480","2883","376","1684","362","4326","432","2946","398","1380","260","3762","462","2949","420","813","213","1381","301","1242","290","139","79","962","436","935","431","27","37","37231","1702","3537","581","3374","573","163","94","7623","618","7206","633","417","141","4303","407","3676","367","627","172","5556","579","4780","554","776","216","5229","527","4002","467","1227","297","4257","408","3364","346","893","229","3543","341","2949","327","594","136","1962","259","1852","258","110","71","1221","300","1180","300","41","55",
"860Z200US90004","ZCTA5 90004","58765","2269","29859","1410","1998","426","1947","428","51","69","4234","526","4010","514","224","113","3248","591","2855","571","393","140","5368","538","4247","487","1121","232","4579","500","3473","426","1106","284","3907","500","2993","423","914","209","3283","479","2528","377","755","214","2299","382","2055","347","244","120","943","209","943","209","0","31","28906","1329","1725","376","1704","379","21","34","3540","570","3362","576","178","102","3141","472","2397","392","744","340","5281","507","4330","421","951","269","3767","392","3045","336","722","205","3873","400","2987","376","886","231","3837","568","3138","475","699","249","2203","339","2142","334","61","48","1539","251","1527","246","12","18",
