Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,91201,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91201,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91201,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91201,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91201,2500 - 2999 grams,41,11/10/2025
Birth,2022,Place of Residence,91201,3000 - 3499 grams,65,11/10/2025
Birth,2022,Place of Residence,91201,3500 - 3999 grams,48,11/10/2025
Birth,2022,Place of Residence,91201,4000 - 5999 grams,16,11/10/2025
Birth,2022,Place of Residence,91201,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91202,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91202,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91202,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91202,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91202,2500 - 2999 grams,49,11/10/2025
Birth,2022,Place of Residence,91202,3000 - 3499 grams,73,11/10/2025
Birth,2022,Place of Residence,91202,3500 - 3999 grams,54,11/10/2025
Birth,2022,Place of Residence,91202,4000 - 5999 grams,13,11/10/2025
Birth,2022,Place of Residence,91202,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91203,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91203,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91203,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,91203,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91203,2500 - 2999 grams,34,11/10/2025
Birth,2022,Place of Residence,91203,3000 - 3499 grams,61,11/10/2025
Birth,2022,Place of Residence,91203,3500 - 3999 grams,55,11/10/2025
Birth,2022,Place of Residence,91203,4000 - 5999 grams,13,11/10/2025
Birth,2022,Place of Residence,91203,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91204,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91204,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91204,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91204,2000 - 2499 grams,15,11/10/2025
Birth,2022,Place of Residence,91204,2500 - 2999 grams,27,11/10/2025
Birth,2022,Place of Residence,91204,3000 - 3499 grams,58,11/10/2025
Birth,2022,Place of Residence,91204,3500 - 3999 grams,47,11/10/2025
Birth,2022,Place of Residence,91204,4000 - 5999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91204,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91205,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91205,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91205,1500 - 1999 grams,<11,11/10/2025
