Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,90623,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90623,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90623,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90623,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90623,2500 - 2999 grams,16,11/10/2025
Birth,2022,Place of Residence,90623,3000 - 3499 grams,45,11/10/2025
Birth,2022,Place of Residence,90623,3500 - 3999 grams,35,11/10/2025
Birth,2022,Place of Residence,90623,4000 - 5999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90623,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90630,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90630,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90630,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90630,2000 - 2499 grams,18,11/10/2025
Birth,2022,Place of Residence,90630,2500 - 2999 grams,67,11/10/2025
Birth,2022,Place of Residence,90630,3000 - 3499 grams,135,11/10/2025
Birth,2022,Place of Residence,90630,3500 - 3999 grams,96,11/10/2025
Birth,2022,Place of Residence,90630,4000 - 5999 grams,29,11/10/2025
Birth,2022,Place of Residence,90630,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90631,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90631,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90631,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90631,2000 - 2499 grams,39,11/10/2025
Birth,2022,Place of Residence,90631,2500 - 2999 grams,136,11/10/2025
Birth,2022,Place of Residence,90631,3000 - 3499 grams,271,11/10/2025
Birth,2022,Place of Residence,90631,3500 - 3999 grams,186,11/10/2025
Birth,2022,Place of Residence,90631,4000 - 5999 grams,85,11/10/2025
Birth,2022,Place of Residence,90631,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,90638,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90638,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90638,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90638,2000 - 2499 grams,25,11/10/2025
Birth,2022,Place of Residence,90638,2500 - 2999 grams,57,11/10/2025
Birth,2022,Place of Residence,90638,3000 - 3499 grams,140,11/10/2025
Birth,2022,Place of Residence,90638,3500 - 3999 grams,97,11/10/2025
Birth,2022,Place of Residence,90638,4000 - 5999 grams,31,11/10/2025
Birth,2022,Place of Residence,90638,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,90639,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90639,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90639,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90639,2000 - 2499 grams,0,11/10/2025
Birth,2022,Place of Residence,90639,2500 - 2999 grams,0,11/10/2025
Birth,2022,Place of Residence,90639,3000 - 3499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90639,3500 - 3999 grams,0,11/10/2025
Birth,2022,Place of Residence,90639,4000 - 5999 grams,0,11/10/2025
Birth,2022,Place of Residence,90639,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90640,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90640,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90640,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90640,2000 - 2499 grams,22,11/10/2025
Birth,2022,Place of Residence,90640,2500 - 2999 grams,116,11/10/2025
Birth,2022,Place of Residence,90640,3000 - 3499 grams,259,11/10/2025
Birth,2022,Place of Residence,90640,3500 - 3999 grams,152,11/10/2025
Birth,2022,Place of Residence,90640,4000 - 5999 grams,51,11/10/2025
Birth,2022,Place of Residence,90640,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90650,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90650,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90650,1500 - 1999 grams,18,11/10/2025
Birth,2022,Place of Residence,90650,2000 - 2499 grams,41,11/10/2025
Birth,2022,Place of Residence,90650,2500 - 2999 grams,183,11/10/2025
Birth,2022,Place of Residence,90650,3000 - 3499 grams,387,11/10/2025
Birth,2022,Place of Residence,90650,3500 - 3999 grams,252,11/10/2025
Birth,2022,Place of Residence,90650,4000 - 5999 grams,89,11/10/2025
Birth,2022,Place of Residence,90650,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,90660,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90660,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90660,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90660,2000 - 2499 grams,29,11/10/2025
Birth,2022,Place of Residence,90660,2500 - 2999 grams,114,11/10/2025
Birth,2022,Place of Residence,90660,3000 - 3499 grams,235,11/10/2025
Birth,2022,Place of Residence,90660,3500 - 3999 grams,130,11/10/2025
Birth,2022,Place of Residence,90660,4000 - 5999 grams,46,11/10/2025
Birth,2022,Place of Residence,90660,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90670,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90670,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90670,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90670,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90670,2500 - 2999 grams,31,11/10/2025
Birth,2022,Place of Residence,90670,3000 - 3499 grams,65,11/10/2025
Birth,2022,Place of Residence,90670,3500 - 3999 grams,50,11/10/2025
Birth,2022,Place of Residence,90670,4000 - 5999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90670,Unreliable/Unknown,0,11/10/2025
Birth,2021,Place of Residence,90623,500 - 999 grams,<11,11/10/2025
Birth,2021,Place of Residence,90623,1000 - 1499 grams,<11,11/10/2025
Birth,2021,Place of Residence,90623,1500 - 1999 grams,<11,11/10/2025
Birth,2021,Place of Residence,90623,2000 - 2499 grams,<11,11/10/2025
Birth,2021,Place of Residence,90623,2500 - 2999 grams,31,11/10/2025
Birth,2021,Place of Residence,90623,3000 - 3499 grams,44,11/10/2025
Birth,2021,Place of Residence,90623,3500 - 3999 grams,14,11/10/2025
Birth,2021,Place of Residence,90623,4000 - 5999 grams,<11,11/10/2025
Birth,2021,Place of Residence,90623,Unreliable/Unknown,0,11/10/2025
Birth,2021,Place of Residence,90630,500 - 999 grams,<11,11/10/2025
Birth,2021,Place of Residence,90630,1000 - 1499 grams,<11,11/10/2025
Birth,2021,Place of Residence,90630,1500 - 1999 grams,<11,11/10/2025
Birth,2021,Place of Residence,90630,2000 - 2499 grams,12,11/10/2025
Birth,2021,Place of Residence,90630,2500 - 2999 grams,94,11/10/2025
Birth,2021,Place of Residence,90630,3000 - 3499 grams,170,11/10/2025
Birth,2021,Place of Residence,90630,3500 - 3999 grams,103,11/10/2025
Birth,2021,Place of Residence,90630,4000 - 5999 grams,32,11/10/2025
Birth,2021,Place of Residence,90630,Unreliable/Unknown,0,11/10/2025
Birth,2021,Place of Residence,90631,500 - 999 grams,<11,11/10/2025
Birth,2021,Place of Residence,90631,1000 - 1499 grams,<11,11/10/2025
Birth,2021,Place of Residence,90631,1500 - 1999 grams,<11,11/10/2025
Birth,2021,Place of Residence,90631,2000 - 2499 grams,21,11/10/2025
Birth,2021,Place of Residence,90631,2500 - 2999 grams,102,11/10/2025
Birth,2021,Place of Residence,90631,3000 - 3499 grams,275,11/10/2025
Birth,2021,Place of Residence,90631,3500 - 3999 grams,190,11/10/2025
Birth,2021,Place of Residence,90631,4000 - 5999 grams,56,11/10/2025
Birth,2021,Place of Residence,90631,Unreliable/Unknown,0,11/10/2025
Birth,2021,Place of Residence,90638,500 - 999 grams,<11,11/10/2025
Birth,2021,Place of Residence,90638,1000 - 1499 grams,<11,11/10/2025
Birth,2021,Place of Residence,90638,1500 - 1999 grams,<11,11/10/2025
Birth,2021,Place of Residence,90638,2000 - 2499 grams,<11,11/10/2025
Birth,2021,Place of Residence,90638,2500 - 2999 grams,56,11/10/2025
Birth,2021,Place of Residence,90638,3000 - 3499 grams,150,11/10/2025
Birth,2021,Place of Residence,90638,3500 - 3999 grams,99,11/10/2025
Birth,2021,Place of Residence,90638,4000 - 5999 grams,23,11/10/2025
Birth,2021,Place of Residence,90638,Unreliable/Unknown,0,11/10/2025
Birth,2021,Place of Residence,90639,500 - 999 grams,0,11/10/2025
Birth,2021,Place of Residence,90639,1000 - 1499 grams,0,11/10/2025
Birth,2021,Place of Residence,90639,1500 - 1999 grams,0,11/10/2025
Birth,2021,Place of Residence,90639,2000 - 2499 grams,0,11/10/2025
Birth,2021,Place of Residence,90639,2500 - 2999 grams,0,11/10/2025
Birth,2021,Place of Residence,90639,3000 - 3499 grams,<11,11/10/2025
Birth,2021,Place of Residence,90639,3500 - 3999 grams,<11,11/10/2025
Birth,2021,Place of Residence,90639,4000 - 5999 grams,0,11/10/2025
Birth,2021,Place of Residence,90639,Unreliable/Unknown,0,11/10/2025
Birth,2021,Place of Residence,90640,500 - 999 grams,<11,11/10/2025
Birth,2021,Place of Residence,90640,1000 - 1499 grams,<11,11/10/2025
Birth,2021,Place of Residence,90640,1500 - 1999 grams,<11,11/10/2025
Birth,2021,Place of Residence,90640,2000 - 2499 grams,33,11/10/2025
Birth,2021,Place of Residence,90640,2500 - 2999 grams,96,11/10/2025
Birth,2021,Place of Residence,90640,3000 - 3499 grams,247,11/10/2025
Birth,2021,Place of Residence,90640,3500 - 3999 grams,151,11/10/2025
Birth,2021,Place of Residence,90640,4000 - 5999 grams,34,11/10/2025
