Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,91311,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91311,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91311,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91311,2000 - 2499 grams,19,11/10/2025
Birth,2022,Place of Residence,91311,2500 - 2999 grams,83,11/10/2025
Birth,2022,Place of Residence,91311,3000 - 3499 grams,129,11/10/2025
Birth,2022,Place of Residence,91311,3500 - 3999 grams,93,11/10/2025
Birth,2022,Place of Residence,91311,4000 - 5999 grams,17,11/10/2025
Birth,2022,Place of Residence,91311,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91316,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91316,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,91316,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91316,2000 - 2499 grams,23,11/10/2025
Birth,2022,Place of Residence,91316,2500 - 2999 grams,69,11/10/2025
Birth,2022,Place of Residence,91316,3000 - 3499 grams,110,11/10/2025
Birth,2022,Place of Residence,91316,3500 - 3999 grams,80,11/10/2025
Birth,2022,Place of Residence,91316,4000 - 5999 grams,23,11/10/2025
Birth,2022,Place of Residence,91316,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91324,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91324,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91324,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91324,2000 - 2499 grams,18,11/10/2025
Birth,2022,Place of Residence,91324,2500 - 2999 grams,55,11/10/2025
Birth,2022,Place of Residence,91324,3000 - 3499 grams,103,11/10/2025
Birth,2022,Place of Residence,91324,3500 - 3999 grams,81,11/10/2025
Birth,2022,Place of Residence,91324,4000 - 5999 grams,17,11/10/2025
Birth,2022,Place of Residence,91324,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,91325,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91325,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91325,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91325,2000 - 2499 grams,16,11/10/2025
Birth,2022,Place of Residence,91325,2500 - 2999 grams,68,11/10/2025
