Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,91101,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91101,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91101,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91101,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91101,2500 - 2999 grams,50,11/10/2025
Birth,2022,Place of Residence,91101,3000 - 3499 grams,82,11/10/2025
Birth,2022,Place of Residence,91101,3500 - 3999 grams,44,11/10/2025
Birth,2022,Place of Residence,91101,4000 - 5999 grams,11,11/10/2025
Birth,2022,Place of Residence,91101,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,91103,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91103,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91103,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91103,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91103,2500 - 2999 grams,57,11/10/2025
Birth,2022,Place of Residence,91103,3000 - 3499 grams,115,11/10/2025
Birth,2022,Place of Residence,91103,3500 - 3999 grams,56,11/10/2025
Birth,2022,Place of Residence,91103,4000 - 5999 grams,17,11/10/2025
Birth,2022,Place of Residence,91103,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91104,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91104,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91104,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91104,2000 - 2499 grams,15,11/10/2025
Birth,2022,Place of Residence,91104,2500 - 2999 grams,72,11/10/2025
Birth,2022,Place of Residence,91104,3000 - 3499 grams,130,11/10/2025
Birth,2022,Place of Residence,91104,3500 - 3999 grams,105,11/10/2025
Birth,2022,Place of Residence,91104,4000 - 5999 grams,23,11/10/2025
Birth,2022,Place of Residence,91104,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,91105,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,91105,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,91105,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91105,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91105,2500 - 2999 grams,18,11/10/2025
Birth,2022,Place of Residence,91105,3000 - 3499 grams,46,11/10/2025
Birth,2022,Place of Residence,91105,3500 - 3999 grams,27,11/10/2025
Birth,2022,Place of Residence,91105,4000 - 5999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91105,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91106,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91106,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,91106,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91106,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91106,2500 - 2999 grams,45,11/10/2025
Birth,2022,Place of Residence,91106,3000 - 3499 grams,88,11/10/2025
Birth,2022,Place of Residence,91106,3500 - 3999 grams,59,11/10/2025
Birth,2022,Place of Residence,91106,4000 - 5999 grams,14,11/10/2025
Birth,2022,Place of Residence,91106,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,91107,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91107,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,91107,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,91107,2000 - 2499 grams,<11,11/10/2025
Birth,2022,Place of Residence,91107,2500 - 2999 grams,49,11/10/2025
Birth,2022,Place of Residence,91107,3000 - 3499 grams,112,11/10/2025
