Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,90030,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90030,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90030,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,90030,2000 - 2499 grams,0,11/10/2025
Birth,2022,Place of Residence,90030,2500 - 2999 grams,0,11/10/2025
Birth,2022,Place of Residence,90030,3000 - 3499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90030,3500 - 3999 grams,0,11/10/2025
Birth,2022,Place of Residence,90030,4000 - 5999 grams,0,11/10/2025
Birth,2022,Place of Residence,90030,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90031,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90031,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90031,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90031,2000 - 2499 grams,12,11/10/2025
Birth,2022,Place of Residence,90031,2500 - 2999 grams,63,11/10/2025
Birth,2022,Place of Residence,90031,3000 - 3499 grams,122,11/10/2025
Birth,2022,Place of Residence,90031,3500 - 3999 grams,82,11/10/2025
Birth,2022,Place of Residence,90031,4000 - 5999 grams,14,11/10/2025
Birth,2022,Place of Residence,90031,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,90032,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90032,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90032,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90032,2000 - 2499 grams,15,11/10/2025
Birth,2022,Place of Residence,90032,2500 - 2999 grams,85,11/10/2025
Birth,2022,Place of Residence,90032,3000 - 3499 grams,156,11/10/2025
Birth,2022,Place of Residence,90032,3500 - 3999 grams,100,11/10/2025
Birth,2022,Place of Residence,90032,4000 - 5999 grams,32,11/10/2025
Birth,2022,Place of Residence,90032,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90033,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90033,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90033,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90033,2000 - 2499 grams,25,11/10/2025
Birth,2022,Place of Residence,90033,2500 - 2999 grams,106,11/10/2025
Birth,2022,Place of Residence,90033,3000 - 3499 grams,174,11/10/2025
Birth,2022,Place of Residence,90033,3500 - 3999 grams,118,11/10/2025
