Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,91740,261,11/10/2025
Birth,2022,Place of Residence,91741,201,11/10/2025
Birth,2022,Place of Residence,91744,892,11/10/2025
Birth,2022,Place of Residence,91745,441,11/10/2025
Birth,2022,Place of Residence,91746,309,11/10/2025
Birth,2022,Place of Residence,91748,414,11/10/2025
Birth,2022,Place of Residence,91750,240,11/10/2025
Birth,2022,Place of Residence,91754,252,11/10/2025
Birth,2022,Place of Residence,91755,209,11/10/2025
Birth,2022,Place of Residence,91759,<11,11/10/2025
Birth,2022,Place of Residence,91765,330,11/10/2025
Birth,2022,Place of Residence,91766,778,11/10/2025
Birth,2022,Place of Residence,91767,556,11/10/2025
Birth,2022,Place of Residence,91768,365,11/10/2025
Birth,2022,Place of Residence,91770,440,11/10/2025
Birth,2021,Place of Residence,91740,248,11/10/2025
Birth,2021,Place of Residence,91741,215,11/10/2025
Birth,2021,Place of Residence,91744,851,11/10/2025
Birth,2021,Place of Residence,91745,386,11/10/2025
Birth,2021,Place of Residence,91746,308,11/10/2025
Birth,2021,Place of Residence,91748,429,11/10/2025
Birth,2021,Place of Residence,91750,245,11/10/2025
Birth,2021,Place of Residence,91754,262,11/10/2025
Birth,2021,Place of Residence,91755,222,11/10/2025
Birth,2021,Place of Residence,91759,<11,11/10/2025
Birth,2021,Place of Residence,91765,312,11/10/2025
Birth,2021,Place of Residence,91766,817,11/10/2025
Birth,2021,Place of Residence,91767,574,11/10/2025
Birth,2021,Place of Residence,91768,364,11/10/2025
Birth,2021,Place of Residence,91770,467,11/10/2025
Birth,2020,Place of Residence,91740,247,11/10/2025
Birth,2020,Place of Residence,91741,213,11/10/2025
Birth,2020,Place of Residence,91744,903,11/10/2025
Birth,2020,Place of Residence,91745,502,11/10/2025
Birth,2020,Place of Residence,91746,319,11/10/2025
Birth,2020,Place of Residence,91748,595,11/10/2025
Birth,2020,Place of Residence,91750,229,11/10/2025
Birth,2020,Place of Residence,91754,350,11/10/2025
Birth,2020,Place of Residence,91755,211,11/10/2025
Birth,2020,Place of Residence,91759,<11,11/10/2025
Birth,2020,Place of Residence,91765,409,11/10/2025
Birth,2020,Place of Residence,91766,795,11/10/2025
Birth,2020,Place of Residence,91767,593,11/10/2025
Birth,2020,Place of Residence,91768,334,11/10/2025
Birth,2020,Place of Residence,91770,500,11/10/2025
Birth,2019,Place of Residence,91740,258,11/10/2025
Birth,2019,Place of Residence,91741,228,11/10/2025
Birth,2019,Place of Residence,91744,983,11/10/2025
Birth,2019,Place of Residence,91745,643,11/10/2025
Birth,2019,Place of Residence,91746,350,11/10/2025
Birth,2019,Place of Residence,91748,1038,11/10/2025
Birth,2019,Place of Residence,91750,257,11/10/2025
Birth,2019,Place of Residence,91754,717,11/10/2025
Birth,2019,Place of Residence,91755,321,11/10/2025
Birth,2019,Place of Residence,91759,<11,11/10/2025
Birth,2019,Place of Residence,91765,527,11/10/2025
Birth,2019,Place of Residence,91766,905,11/10/2025
Birth,2019,Place of Residence,91767,666,11/10/2025
Birth,2019,Place of Residence,91768,421,11/10/2025
Birth,2019,Place of Residence,91770,644,11/10/2025
Birth,2018,Place of Residence,91740,242,11/10/2025
Birth,2018,Place of Residence,91741,228,11/10/2025
Birth,2018,Place of Residence,91744,1087,11/10/2025
Birth,2018,Place of Residence,91745,605,11/10/2025
Birth,2018,Place of Residence,91746,357,11/10/2025
Birth,2018,Place of Residence,91748,1296,11/10/2025
Birth,2018,Place of Residence,91750,271,11/10/2025
Birth,2018,Place of Residence,91754,694,11/10/2025
Birth,2018,Place of Residence,91755,318,11/10/2025
Birth,2018,Place of Residence,91759,<11,11/10/2025
Birth,2018,Place of Residence,91765,573,11/10/2025
Birth,2018,Place of Residence,91766,910,11/10/2025
Birth,2018,Place of Residence,91767,659,11/10/2025
Birth,2018,Place of Residence,91768,449,11/10/2025
Birth,2018,Place of Residence,91770,565,11/10/2025
