ZIP_Code_of_Residence,Total_Births_2018_2022,Total_LBW_Count_2018_2022,LBW_Rate,avg_traffic_pct,avg_diesel_pm,avg_cancer_risk,avg_resp_hazard,avg_ej_index,svi_score,socioeconomic_status,household_characterisitcs,race_ethnicity_minority_status,housing_type_transportation,total_housing_population,total_ownership_population,health_insurance_coverage_pop,educational_attainment,homeownership_rate,poverty_rate,white_prop,black_prop,asian_prop,hispanic_prop,log_median_household_income
90001,3936.0,308.0,7.825203252032519,79.58889300298623,1.016898793082242,45.87371070311247,1.3518069337520555,0.8166042322810383,0.9468,0.9871,0.8586,0.9909,0.6483,13597,4736,57639,5.4,0.3483121276752224,21.13716783459377,0.28245334073405953,0.07449871643655033,0.006036217303822937,0.9130992853673767,10.962977789850388
90002,3839.5,324.5,8.451621304857403,84.28789945185436,1.0104359733521655,44.7937173983572,1.3582134116055224,0.8154269794113795,0.9784,0.9901,0.9554,0.9926,0.7503,13013,5314,53100,5.1,0.4083608698993314,23.988852903517362,0.23171650222188747,0.15732093093319274,0.011504858025156285,0.8240942984107855,10.900823566261407
90003,5583.5,439.5,7.871406823676905,91.14788489364793,1.117199574586545,45.92741652618997,1.416786540018033,0.8347100970884265,0.9819,0.9924,0.9513,0.9921,0.7833,17936,4845,75006,4.8,0.2701271186440678,26.84740882917466,0.1717983578588185,0.16464064832586905,0.004665173811047131,0.815459053103007,10.844958582940581
90004,2642.0,211.0,7.986373959121877,87.25532219247842,0.9216457461249248,47.51235065682693,1.2153643401947911,0.5812786499113016,0.9,0.9398,0.4368,0.7972,0.9641,23047,3794,58765,26.7,0.1646201240942422,19.242601941087482,0.28927642649533425,0.0445158329508949,0.24788809001750717,0.4658949909064641,10.975413575941731
90005,1537.0,140.0,9.108653220559532,83.06200124585338,1.0181200268138508,50.77260847938786,1.3923551044507618,0.7072037827028652,0.8825,0.9082,0.3308,0.9054,0.978,16607,1301,37655,26.3,0.0783404588426567,23.58955342480267,0.19523759071886423,0.05313344281400646,0.32592572972400274,0.4927424908618954,10.804177218181632
90006,2755.5,211.5,7.675557974959172,85.11008181919985,1.0616636636555916,49.88637524675337,1.328511282365438,0.8100570077573456,0.9708,0.9556,0.6541,0.9524,0.9977,19100,2033,56075,16.1,0.1064397905759162,22.764356855265948,0.2338772338772339,0.029473052200324926,0.18312495585222857,0.7245532245532246,10.770567031595471
90007,1275.5,123.5,9.682477459819678,92.2271787228805,1.1897530189499947,48.08502108490271,1.4064061828403964,0.7693448089999955,0.9538,0.9953,0.4154,0.8459,0.9774,12520,1329,40995,16.0,0.1061501597444089,33.1626182811433,0.325821871036972,0.08621110135596527,0.18859135694078627,0.5391912984099112,10.500289017309388
90008,1625.5,168.5,10.366041218086744,78.17999133990999,0.8211252082536841,42.24656027343708,1.3771224350731457,0.6654504134744168,0.8175,0.8386,0.7016,0.9518,0.6327,14694,4632,33053,17.7,0.3152307064107799,18.23981134357238,0.09460031442737937,0.6363224089974604,0.029961301245616155,0.2630910630064095,10.96612718074542
90010,159.5,27.5,17.24137931034483,80.91519798410319,1.018756896896669,50.54657912101194,1.373787032634591,0.6700706044299678,0.4673,0.4667,0.0585,0.8414,0.7283,2381,394,4185,37.2,0.1654766904661906,9.84468339307049,0.1918757467144564,0.054958183990442055,0.6630824372759857,0.07861409796893667,11.434466502509908
90011,6908.5,562.5,8.14214373597742,85.88389724983686,1.0856061920073552,47.515493412413576,1.347554876857635,0.8481245841548956,0.9702,0.9982,0.8841,0.9887,0.7306,24399,6519,105900,5.0,0.2671830812738227,26.982704965956884,0.24184756983082176,0.05744893532751174,0.006223949001339092,0.9210407197148299,10.855512156361394
