ZIP_Code_of_Residence,Total_Births_2018_2022,Total_LBW_Count_2018_2022,LBW_Rate,Births_Bachelor's_Degree,Births_Graduate_Degree,Births_High_School_Graduate_or_GED_Completed,Births_No_High_School_Diploma,"Births_Some_College_Credit,_No_4-Year_Degree",Births_Unknown,Births_15_years_and_under,Births_16___17_years,Births_18___19_years,Births_20___24_years,Births_25___29_years,Births_30___34_years,Births_35___39_years,Births_40___44_years,Births_45___49_years,Births_50_years_and_over/Unknown,Births_First_Trimester,Births_No_Prenatal_Care,Births_Second_Trimester,Births_Third_Trimester,Births_Unknown_Not_Reported
90001,3936.0,308.0,7.825203252032519,197.0,34.0,1494.0,1238.0,902.0,73.0,22.0,83.0,193.0,893.0,1134.0,948.0,536.0,139.0,27.5,0.0,3171.0,52.5,552.0,138.0,27.5
90002,3839.5,324.5,8.451621304857403,203.0,35.0,1517.0,1099.0,902.0,81.5,22.0,70.5,192.0,919.0,1135.0,883.0,481.0,143.0,22.0,5.5,3118.0,33.0,533.0,115.0,27.5
90003,5583.5,439.5,7.871406823676905,231.0,62.5,1993.0,1976.0,1216.0,108.0,27.5,101.0,306.0,1430.0,1602.0,1205.0,723.0,201.0,27.5,0.0,4418.0,79.0,822.0,206.0,59.0
90004,2642.0,211.0,7.986373959121877,585.0,329.0,609.0,525.0,507.0,59.5,22.0,27.5,57.5,336.0,546.0,791.0,618.0,215.0,27.5,16.5,2078.0,27.5,307.0,180.0,27.5
90005,1537.0,140.0,9.108653220559532,278.0,135.0,336.0,398.0,320.0,35.0,16.5,27.5,35.0,215.0,362.0,442.0,320.0,102.0,22.0,5.5,1235.0,27.5,200.0,27.5,27.5
90006,2755.5,211.5,7.675557974959172,307.0,99.0,750.0,976.0,552.0,51.0,22.0,41.0,106.0,519.0,713.0,719.0,473.0,158.0,11.0,5.5,2173.0,27.5,396.0,129.0,27.5
90007,1275.5,123.5,9.682477459819678,143.0,91.0,351.0,329.0,301.0,41.5,5.5,27.5,38.0,216.0,369.0,338.0,210.0,56.5,0.0,0.0,989.0,27.5,169.0,52.0,27.5
90008,1625.5,168.5,10.366041218086744,278.0,210.0,435.0,225.0,418.0,48.0,11.0,27.5,44.0,247.0,358.0,458.0,374.0,99.0,27.5,5.5,1279.0,27.5,188.0,53.0,67.5
90009,11.0,0.0,0.0,0.0,0.0,5.5,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,5.5
90010,159.5,27.5,17.24137931034483,46.5,27.5,27.5,0.0,34.0,11.0,0.0,0.0,0.0,27.5,27.5,37.0,46.0,27.5,5.5,5.5,117.0,5.5,22.0,11.0,0.0
