ZIP_Code_of_Residence,Year_of_Birth,Annual_Births_By_Zip,LBW_Count,LBW_rate
90001,2018,913.0,77.0,8.433734939759036
90001,2019,821.0,71.0,8.647990255785627
90001,2020,762.5,48.5,6.360655737704918
90001,2021,729.5,57.5,7.882111034955449
90001,2022,710.0,54.0,7.605633802816901
90002,2018,864.5,69.5,8.03932909196067
90002,2019,855.0,57.0,6.666666666666667
90002,2020,747.0,61.0,8.165997322623829
90002,2021,706.0,73.0,10.339943342776204
90002,2022,667.0,64.0,9.5952023988006
90003,2018,1221.5,87.5,7.163323782234957
90003,2019,1173.0,79.0,6.734867860187553
90003,2020,1102.0,100.0,9.074410163339383
90003,2021,1065.0,77.0,7.230046948356808
90003,2022,1022.0,96.0,9.393346379647749
90004,2018,576.5,46.5,8.065915004336514
90004,2019,558.5,53.5,9.579230080572962
90004,2020,499.0,34.0,6.813627254509018
90004,2021,474.0,46.0,9.70464135021097
90004,2022,534.0,31.0,5.805243445692884
90005,2018,321.5,32.5,10.10886469673406
90005,2019,318.5,33.5,10.518053375196232
90005,2020,306.0,25.0,8.169934640522875
90005,2021,277.0,22.0,7.9422382671480145
90005,2022,314.0,27.0,8.598726114649681
90006,2018,601.5,45.5,7.564422277639235
90006,2019,575.5,40.5,7.037358818418767
90006,2020,546.5,43.5,7.959743824336687
90006,2021,520.5,45.5,8.741594620557157
90006,2022,511.5,36.5,7.1358748778103624
90007,2018,286.0,25.0,8.741258741258742
90007,2019,281.0,22.0,7.829181494661921
90007,2020,235.5,16.5,7.006369426751593
90007,2021,227.5,27.5,12.087912087912088
90007,2022,245.5,32.5,13.238289205702646
90008,2018,323.5,33.5,10.35548686244204
90008,2019,359.5,30.5,8.484005563282336
90008,2020,322.5,39.5,12.248062015503876
90008,2021,305.5,33.5,10.965630114566286
90008,2022,314.5,31.5,10.01589825119237
90009,2018,0.0,0.0,
90009,2019,5.5,0.0,0.0
90009,2020,0.0,0.0,
90009,2021,0.0,0.0,
90009,2022,5.5,0.0,0.0
90010,2018,47.5,11.0,23.157894736842106
90010,2019,34.0,5.5,16.176470588235293
90010,2020,22.0,5.5,25.0
90010,2021,27.5,5.5,20.0
90010,2022,28.5,0.0,0.0
90011,2018,1547.5,114.5,7.399030694668821
90011,2019,1484.5,113.5,7.645671943415292
