FIPS,svi_score,socioeconomic_status,household_characterisitcs,race_ethnicity_minority_status,housing_type_transportation,total_race_population,white_population,black_population,asian_population,hispanic_population,median_household_income,total_housing_population,total_ownership_population,health_insurance_coverage_pop,educational_attainment,poverty_rate,homeownership_rate
90001,0.9468,0.9871,0.8586,0.9909,0.6483,57652,16284,4295,348,52642,57698.0,13597,4736,57639,5.4,12186,0.34831212767522246
90002,0.9784,0.9901,0.9554,0.9926,0.7503,53108,12306,8355,611,43766,54221.0,13013,5314,53100,5.1,12740,0.40836086989933146
90003,0.9819,0.9924,0.9513,0.9921,0.7833,75024,12889,12352,350,61179,51275.0,17936,4845,75006,4.8,20142,0.2701271186440678
90004,0.9,0.9398,0.4368,0.7972,0.9641,58833,17019,2619,14584,27410,58420.0,23047,3794,58765,26.7,11321,0.1646201240942422
90005,0.8825,0.9082,0.3308,0.9054,0.978,37754,7371,2006,12305,18603,49226.0,16607,1301,37655,26.3,8906,0.07834045884265671
90006,0.9708,0.9556,0.6541,0.9524,0.9977,56628,13244,1669,10370,41030,47599.0,19100,2033,56075,16.1,12891,0.10643979057591622
90007,0.9538,0.9953,0.4154,0.8459,0.9774,41004,13360,3535,7733,22109,36326.0,12520,1329,40995,16.0,13598,0.10615015974440895
90008,0.8175,0.8386,0.7016,0.9518,0.6327,33076,3129,21047,991,8702,57880.0,14694,4632,33053,17.7,6033,0.31523070641077994
90010,0.4673,0.4667,0.0585,0.8414,0.7283,4185,803,230,2775,329,92454.0,2381,394,4185,37.2,412,0.16547669046619068
90011,0.9702,0.9982,0.8841,0.9887,0.7306,106042,25646,6092,660,97669,51819.0,24399,6519,105900,5.0,28613,0.2671830812738227
90012,0.8801,0.9275,0.2329,0.8181,0.9971,38430,9227,5071,13807,10575,58444.0,14945,957,29197,24.6,7144,0.06403479424556707
90013,0.8649,0.9637,0.2706,0.7303,0.9444,14587,4749,4039,2055,3492,24853.0,7781,625,14583,21.4,6658,0.08032386582701452
90014,0.9187,0.9456,0.5423,0.7331,0.9728,9273,3111,1925,2210,2372,26550.0,6100,212,9255,27.0,3297,0.03475409836065574
90015,0.8374,0.9146,0.2225,0.8584,0.9432,25554,8332,2315,5197,13400,61959.0,12838,1107,25545,30.0,6479,0.08622838448356442
90016,0.8462,0.8947,0.5927,0.9042,0.7746,47309,14557,13028,2111,25816,63090.0,17601,6403,47255,20.2,7232,0.363786148514289
90017,0.9567,0.9608,0.6738,0.8952,0.9676,28754,7518,3699,5062,16444,46626.0,13564,734,28707,21.2,10236,0.054113830728398704
