ZIP_Code_of_Residence,Total_Births_2018_2022,Total_LBW_Count_2018_2022,LBW_Rate
90001,3936.0,308.0,7.825203252032519
90002,3839.5,324.5,8.451621304857403
90003,5583.5,439.5,7.871406823676905
90004,2642.0,211.0,7.986373959121877
90005,1537.0,140.0,9.108653220559532
90006,2755.5,211.5,7.6755579749591725
90007,1275.5,123.5,9.682477459819678
90008,1625.5,168.5,10.366041218086743
90009,11.0,0.0,0.0
90010,159.5,27.5,17.24137931034483
90011,6908.5,562.5,8.14214373597742
90012,1044.0,104.0,9.961685823754788
90013,843.0,132.0,15.658362989323843
90014,299.0,77.0,25.75250836120401
90015,1189.5,130.5,10.970996216897856
90016,2437.5,200.5,8.225641025641025
90017,1372.0,142.0,10.349854227405247
90018,2500.5,204.5,8.178364327134572
90019,2962.5,234.5,7.915611814345993
90020,1578.0,156.0,9.885931558935361
90021,162.5,49.5,30.461538461538463
90022,3638.5,271.5,7.46186615363474
90023,2677.0,212.0,7.919312663429212
90024,1215.0,108.0,8.88888888888889
90025,2221.0,174.0,7.8343088698784324
90026,2775.0,226.0,8.144144144144144
90027,1729.5,139.5,8.065915004336514
90028,890.0,90.5,10.168539325842698
90029,1375.0,151.5,11.01818181818182
90030,27.5,5.5,20.0
90031,1712.5,151.5,8.846715328467154
90032,2139.5,177.5,8.296330918438887
90033,2459.5,210.5,8.558650132140679
90034,2669.0,225.0,8.430123641813413
90035,2093.5,159.5,7.618820157630762
90036,2288.5,142.5,6.226786104435219
90037,4017.0,310.0,7.717201891959173
90038,1013.5,106.0,10.458806117414898
90039,1319.0,101.0,7.657316148597422
90040,667.0,93.5,14.017991004497752
90041,1134.5,94.5,8.329660643455266
90042,2797.0,223.0,7.972828030032178
90043,2339.5,245.5,10.493695234024363
90044,6247.0,601.0,9.620617896590364
90045,1908.0,154.0,8.071278825995808
90046,1515.5,97.5,6.433520290333224
90047,2778.0,254.0,9.143268538516919
90048,1245.0,130.0,10.441767068273093
90049,1717.0,145.5,8.474082702387886
90056,323.0,49.5,15.325077399380804
90057,2451.5,244.5,9.973485621048338
90058,278.0,71.5,25.719424460431657
90059,3162.0,272.0,8.60215053763441
90061,1969.5,188.5,9.570957095709572
90062,1882.5,192.5,10.225763612217795
90063,2957.0,223.0,7.541427122083193
90064,1201.0,108.0,8.992506244796003
90065,2193.5,146.5,6.67882379758377
90066,2647.0,191.0,7.215715904797884
90067,137.5,27.5,20.0
90068,906.0,71.5,7.891832229580574
90069,674.0,66.0,9.792284866468842
90071,33.0,0.0,0.0
90073,5.5,0.0,0.0
90077,368.5,49.5,13.432835820895523
90089,38.5,5.5,14.285714285714285
90090,5.5,0.0,0.0
90094,912.0,89.0,9.758771929824562
90095,11.0,5.5,50.0
90201,5436.5,365.5,6.723075508139428
90210,785.5,77.0,9.8026734563972
90211,441.0,49.5,11.224489795918368
90212,508.5,66.0,12.979351032448378
90220,3259.5,261.5,8.022702868538119
90221,3717.5,262.5,7.061197041022192
90222,2311.5,216.5,9.36621241617997
90230,1500.5,116.5,7.7640786404531825
90232,791.5,71.5,9.033480732785849
90401,294.0,44.0,14.965986394557824
90402,419.5,49.5,11.799761620977355
90403,1171.5,92.0,7.8531796841656
90404,940.5,90.0,9.569377990430622
90405,1158.5,82.5,7.121277514026758
90501,2350.5,192.5,8.189746862369708
90502,827.0,77.0,9.310761789600967
90503,1948.5,175.5,9.006928406466514
90504,1429.5,142.5,9.968520461699896
90505,1535.5,122.5,7.977857375447737
90506,11.0,0.0,0.0
90601,1681.5,162.5,9.663990484686293
90602,1483.5,127.5,8.59453993933266
90603,1002.5,83.5,8.329177057356608
90604,2205.0,176.0,7.981859410430839
90605,2112.0,154.0,7.291666666666667
90606,1749.5,149.5,8.545298656759075
90623,610.5,91.0,14.905814905814907
90630,1969.5,150.5,7.641533384107642
90631,3675.0,242.0,6.585034013605442
90638,1883.0,172.0,9.134360063728094
90639,27.5,5.5,20.0
90640,3128.5,236.5,7.5595333226785995
90650,5305.5,350.5,6.606351898972764
90660,3048.5,208.5,6.839429227488929
90670,933.5,104.5,11.194429566148902
90701,785.5,94.5,12.030553787396563
90703,1608.0,165.0,10.261194029850747
90704,185.5,27.5,14.824797843665769
90706,4400.5,295.5,6.715146006135667
90710,1326.5,128.5,9.68714662646061
90712,1816.0,128.0,7.048458149779736
90713,1475.0,125.0,8.47457627118644
90714,27.5,0.0,0.0
90715,1098.0,103.0,9.380692167577413
90716,867.0,93.5,10.784313725490197
90717,1212.5,82.5,6.804123711340206
90723,3252.0,230.0,7.072570725707257
90732,935.5,100.0,10.689470871191876
90802,1862.0,153.0,8.216970998925886
90803,1170.0,90.0,7.6923076923076925
90813,3438.0,284.0,8.26061663757999
90814,897.0,71.5,7.971014492753622
90815,1838.0,141.0,7.671381936887922
90822,0.0,0.0,
90831,5.5,5.5,100.0
90840,0.0,0.0,
90846,0.0,0.0,
91001,1489.0,130.0,8.730691739422431
91006,1360.5,81.0,5.953693495038589
91007,1796.0,141.0,7.850779510022271
91008,99.0,5.5,5.555555555555555
91010,1222.0,109.0,8.919803600654665
91011,553.0,49.5,8.95117540687161
91016,2074.0,158.0,7.618129218900675
91020,398.0,55.0,13.819095477386934
91023,0.0,0.0,
91024,436.0,55.0,12.614678899082568
91030,994.5,71.5,7.18954248366013
91040,1009.0,95.5,9.464816650148663
91042,1349.0,115.0,8.524833209785026
91046,5.5,0.0,0.0
91101,1191.5,105.5,8.854385228703315
91103,1393.0,141.0,10.122038765254846
91104,1737.0,134.0,7.714450201496834
91105,580.5,49.5,8.527131782945736
91106,1315.5,108.5,8.247814519194224
91107,1613.0,130.0,8.05951642901426
91108,379.0,38.5,10.158311345646439
91125,0.0,0.0,
91126,0.0,0.0,
91201,937.5,103.0,10.986666666666666
91202,1058.0,102.0,9.640831758034027
91203,913.5,72.5,7.936507936507936
91204,785.5,86.5,11.012094207511138
91205,1623.0,146.0,8.995686999383858
91206,1509.5,146.5,9.70520039748261
91207,458.0,49.5,10.807860262008735
91208,650.0,49.5,7.615384615384616
91209,11.0,0.0,0.0
91210,88.0,0.0,0.0
91214,1193.0,120.0,10.05867560771165
91301,885.0,93.5,10.564971751412429
91302,785.0,66.0,8.40764331210191
91303,1792.0,148.0,8.258928571428571
91304,2632.5,215.5,8.186134852801521
91305,16.5,0.0,0.0
91306,2322.0,201.0,8.656330749354005
91307,1001.5,86.5,8.637044433349974
91311,1656.5,136.5,8.240265620283731
91316,1648.0,170.0,10.315533980582524
91321,1777.5,146.5,8.241912798874825
91324,1413.0,139.0,9.83722576079264
91325,1540.5,139.5,9.055501460564752
91326,1465.0,137.0,9.351535836177474
91330,49.5,5.5,11.11111111111111
91331,5749.5,461.5,8.02678493782068
91335,4072.0,307.0,7.539292730844793
91340,1989.5,162.5,8.16788137723046
91342,5263.0,420.0,7.980239407182216
91343,3312.0,272.0,8.212560386473431
